1,TRIGO,2021,OLOR OBJETABLE
1,TRIGO,2022,OLOR A HUMEDAD
1,TRIGO,2023,OLOR A TREBOL
1,TRIGO,2024,OLOR A CARBON
1,TRIGO,2111,GRANOS REVOLCADOS EN TIERRA
1,TRIGO,2112,GRANOS PUNTA SOMBREADA P/TIERRA
1,TRIGO,2121,GRANOS REVOLCADOS EN CARBON
1,TRIGO,2122,GRANOS PUNTA NEGRA POR CARBON
1,TRIGO,2123,G.PTA.NEG.P/CARBON Y OLOR CARBON
1,TRIGO,1300,GRANOS DAÑADOS
1,TRIGO,1420,GNOS.ARDIDOS Y/O DAÑADOS P/CALOR
1,TRIGO,1111,TOTAL GRANOS DAÑADOS
1,TRIGO,1510,MATERIAS EXTRAÑAS
1,TRIGO,1651,GRANOS QUEBRADOS Y/O CHUZOS
1,TRIGO,1470,GRANOS PANZA BLANCA
1,TRIGO,1460,GRANOS CON CARBON
1,TRIGO,2161,GRANOS PICADOS
1,TRIGO,2051,CORNEZUELO
1,TRIGO,2062,CHAMICO(semillas cada 100 gr.)
1,TRIGO,2064,SEMILLAS DE TREBOL DE OLOR
1,TRIGO,2214,SEMI DURO
1,TRIGO,2215,BLANDO
1,TRIGO,2211,DURO
1,TRIGO,1711,PESO HECTOLITRICO
1,TRIGO,0,GRADO
1,TRIGO,1,GRADO FUERA DE STANDARD
1,TRIGO,3020,HUMEDAD
1,TRIGO,3113,"PROTEINA (s/base 13,5 % H)"
1,TRIGO,3212,"GLUTEN MOL.INT.HUM.B/13,5 %H"
1,TRIGO,3222,GLUTEN HÚMEDO HARINA (s/base 13.5% H)
1,TRIGO,3217,"GLUTEN MOL.INT.SECO B/13,5 %H"
1,TRIGO,3227,GLUTEN SECO HARINA (s/base 13.5% H)
2,MAIZ,2131,GRANOS AMOHOSADOS
2,MAIZ,2021,OLOR OBJETABLE
2,MAIZ,2022,OLOR A HUMEDAD
2,MAIZ,1300,GRANOS DAÑADOS
2,MAIZ,1510,MATERIAS EXTRAÑAS
2,MAIZ,1611,GRANOS QUEBRADOS
2,MAIZ,1480,GRANOS DE OTRO TIPO
2,MAIZ,1490,GRANOS DE OTRO COLOR
2,MAIZ,2161,GRANOS PICADOS
2,MAIZ,2062,CHAMICO(semillas cada 100 gr.)
2,MAIZ,3020,HUMEDAD
2,MAIZ,1711,PESO HECTOLITRICO
2,MAIZ,2211,DURO
2,MAIZ,2213,DENTADO
2,MAIZ,2233,AMARILLO
2,MAIZ,2234,BLANCO
2,MAIZ,2232,COLORADO
2,MAIZ,0,GRADO
2,MAIZ,1,GRADO FUERA DE STANDARD
3,LINO,1520,CUERPOS EXTRAÑOS
3,LINO,4112,MATERIA GRASA (s.s.s.)
3,LINO,4131,ACIDEZ DE LA  MATERIA GRASA
3,LINO,2111,GRANOS REVOLCADOS EN TIERRA
3,LINO,3020,HUMEDAD
4,AVENA,1511,MATERIAS EXTRAÑAS  SIN VALOR
4,AVENA,1512,MATERIAS EXTRAÑAS CON VALOR
4,AVENA,1656,GRANOS PELADOS Y ROTOS
4,AVENA,1300,GRANOS DAÑADOS
4,AVENA,1130,TOTAL CALIDAD
4,AVENA,2161,GRANOS PICADOS
4,AVENA,2013,LIGERAMENTE
4,AVENA,2014,RAZONABLEMENTE
4,AVENA,2011,LIBRE
4,AVENA,2010,MANCHADO
4,AVENA,1711,PESO HECTOLITRICO
4,AVENA,1480,GRANOS DE OTRO TIPO
4,AVENA,3020,HUMEDAD
4,AVENA,2021,OLOR OBJETABLE
4,AVENA,0,GRADO
4,AVENA,1,GRADO FUERA DE STANDARD
4,AVENA,2218,BLANCA
4,AVENA,2219,AMARILLA
6,CENTENO,1521,CUERPOS EXTRAÑOS SIN VALOR
6,CENTENO,1522,CUERPOS EXTRAÑOS CON VALOR
6,CENTENO,1611,GRANOS QUEBRADOS
6,CENTENO,1300,GRANOS DAÑADOS
6,CENTENO,1130,TOTAL CALIDAD
6,CENTENO,2051,CORNEZUELO
6,CENTENO,2161,GRANOS PICADOS
6,CENTENO,1711,PESO HECTOLITRICO
6,CENTENO,0,GRADO
6,CENTENO,1,GRADO FUERA DE STANDARD
7,ALPISTE,1525,C.EXTRAÑOS(INC.DESC.ROTOS Y VAN)
7,ALPISTE,1523,CUERPOS EXTRAÑOS SIMIL ALPISTE
7,ALPISTE,1300,GRANOS DAÑADOS
7,ALPISTE,1552,GRANOS VERDES INTENSOS
7,ALPISTE,2051,CORNEZUELO
7,ALPISTE,2041,EXCREMENTOS  DE ROEDORES
7,ALPISTE,2062,CHAMICO(semillas cada 100 gr.)
7,ALPISTE,3020,HUMEDAD
8,GIRASOL,1112,TOTAL MATERIAS EXTRAÑAS
8,GIRASOL,2062,CHAMICO(semillas cada 100 gr.)
8,GIRASOL,4112,MATERIA GRASA (s.s.s.)
8,GIRASOL,4131,ACIDEZ DE LA  MATERIA GRASA
8,GIRASOL,3020,HUMEDAD
9,MIJO,1300,GRANOS DAÑADOS
9,MIJO,1520,CUERPOS EXTRAÑOS
9,MIJO,0,GRADO
9,MIJO,1,GRADO FUERA DE STANDARD
9,MIJO,1655,GRANOS DESCASCARADOS Y ROTOS
9,MIJO,2161,GRANOS PICADOS
9,MIJO,2062,CHAMICO(semillas cada 100 gr.)
9,MIJO,3020,HUMEDAD
11,SORGO GRANIFERO,1490,GRANOS DE OTRO COLOR
11,SORGO GRANIFERO,1300,GRANOS DAÑADOS
11,SORGO GRANIFERO,1514,MAT.EXT.Y SORGO NO GRANIFERO
11,SORGO GRANIFERO,1611,GRANOS QUEBRADOS
11,SORGO GRANIFERO,2161,GRANOS PICADOS
11,SORGO GRANIFERO,2062,CHAMICO(semillas cada 100 gr.)
11,SORGO GRANIFERO,3020,HUMEDAD
11,SORGO GRANIFERO,2021,OLOR OBJETABLE
11,SORGO GRANIFERO,2022,OLOR A HUMEDAD
11,SORGO GRANIFERO,2131,GRANOS AMOHOSADOS
11,SORGO GRANIFERO,0,GRADO
11,SORGO GRANIFERO,1,GRADO FUERA DE STANDARD
12,SOJA,1044,MERMA POR CHAMICO
12,SOJA,1300,GRANOS DAÑADOS
12,SOJA,1440,GRANOS QUEMADOS O DE AVERIA
12,SOJA,1111,TOTAL GRANOS DAÑADOS
12,SOJA,1311,GRANOS VERDES
12,SOJA,1524,MATERIAS EXTRAÑAS (SIN TIERRA)
12,SOJA,1531,TIERRA
12,SOJA,1114,TOTAL MATERIAS EXTRAÑAS INCL. TIERRA.
12,SOJA,1652,GRANOS QUEBRADOS Y/O PARTIDOS
12,SOJA,1551,GRANOS NEGROS
12,SOJA,2062,CHAMICO(semillas cada 100 gr.)
12,SOJA,2111,GRANOS REVOLCADOS EN TIERRA
12,SOJA,2131,GRANOS AMOHOSADOS
12,SOJA,3020,HUMEDAD
12,SOJA,2021,OLOR OBJETABLE
12,SOJA,3122,PROTEINA (s.s.s.)
12,SOJA,4112,MATERIA GRASA (s.s.s.)
12,SOJA,4142,FIBRA (s.s.s.)
13,CEBADA FORRAJERA,0,GRADO
13,CEBADA FORRAJERA,1,GRADO FUERA DE STANDARD
13,CEBADA FORRAJERA,1300,GRANOS DAÑADOS
13,CEBADA FORRAJERA,1460,GRANOS CON CARBON
13,CEBADA FORRAJERA,1510,MATERIA EXTRAÑAS
13,CEBADA FORRAJERA,1657,GRANOS QUEBRADOS Y/O PELADOS
13,CEBADA FORRAJERA,1711,PESO HECTOLITRICO
13,CEBADA FORRAJERA,2010,MANCHADO
13,CEBADA FORRAJERA,2021,OLOR OBJETABLE
13,CEBADA FORRAJERA,2161,GRANOS PICADOS
13,CEBADA FORRAJERA,3020,HUMEDAD
15,TRIGO FIDEO,2051,CORNEZUELO
15,TRIGO FIDEO,2062,CHAMICO(semillas cada 100 gr.)
15,TRIGO FIDEO,2063,SEMILLAS DE TREBOL
15,TRIGO FIDEO,3113,"PROTEINA (s/base 13,5 % H)"
15,TRIGO FIDEO,3020,HUMEDAD
15,TRIGO FIDEO,1711,PESO HECTOLITRICO
15,TRIGO FIDEO,2023,OLOR A TREBOL
15,TRIGO FIDEO,2022,OLOR A HUMEDAD
15,TRIGO FIDEO,2021,OLOR OBJETABLE
15,TRIGO FIDEO,2024,OLOR A CARBON
15,TRIGO FIDEO,2112,GRANOS PUNTA SOMBREADA P/TIERRA
15,TRIGO FIDEO,2111,GRANOS REVOLCADOS EN TIERRA
15,TRIGO FIDEO,2122,GRANOS PUNTA NEGRA POR CARBON
15,TRIGO FIDEO,2123,G.PTA.NEG.P/CARBON Y OLOR CARBON
15,TRIGO FIDEO,2121,GRANOS REVOLCADOS EN CARBON
15,TRIGO FIDEO,3212,GLUTEN HÚMEDO M.INTEGRAL(s/base 13.5% H)
15,TRIGO FIDEO,3217,GLUTEN SECO M.INTEGRAL(s/base 13.5% H)
15,TRIGO FIDEO,0,GRADO,
15,TRIGO FIDEO,1,GRADO FUERA DE STANDARD
16,CEBADA CERVECERA,1212,SOBRE ZARANDA  2.5 MM.
16,CEBADA CERVECERA,1214,BAJO     ZARANDA  2.2 MM.
16,CEBADA CERVECERA,1300,GRANOS DAÑADOS
16,CEBADA CERVECERA,1460,GRANOS CON CARBON
16,CEBADA CERVECERA,1510,MATERIAS EXTRAÑAS,
16,CEBADA CERVECERA,1513,MATERIAS INERTES Y SEMILLAS EXTRAÑAS
16,CEBADA CERVECERA,1657,GRANOS QUEBRADOS Y/O PELADOS
16,CEBADA CERVECERA,2161,GRANOS PICADOS
16,CEBADA CERVECERA,3020,HUMEDAD
16,CEBADA CERVECERA,3122,PROTEINA (s.s.s.)
16,CEBADA CERVECERA,4132,CAPACIDAD GERMINATIVA
17,COLZA,1520,CUERPOS EXTRAÑOS
17,COLZA,4112,MATERIA GRASA (s.s.s.)
17,COLZA,4131,ACIDEZ DE LA  MATERIA GRASA
17,COLZA,3020,HUMEDAD
18,GIRASOL OLEICO,1112,TOTAL MATERIAS EXTRAÑAS
18,GIRASOL OLEICO,2062,CHAMICO(semillas cada 100 gr.)
18,GIRASOL OLEICO,4112,MATERIA GRASA (s.s.s.)
18,GIRASOL OLEICO,4131,ACIDEZ DE LA  MATERIA GRASA
18,GIRASOL OLEICO,3020,HUMEDAD
18,GIRASOL OLEICO,4268,ACIDO OLEICO
